NORAD_CAT_ID,SATNAME,PER_ALT,APO_ALT,LAT,LON,TLE_LINE1,TLE_LINE2,SATNAME_CLEAN,SAT_GROUP,Inc
13202,COSMOS 1260 DEB,203.2,254,,,1 13202U 81028 AA 82226.79784439  .31106200 +10954-4 +17887-1 0  9996,2 13202 064.9673 020.8306 0038470 297.8393 062.3229 16.16668989077409,COSMOS 1260 DEB,COSMOS,65.0
13203,COSMOS 1260 DEB,286.6,326.7,,,1 13203U 81028 AB 82172.45501766  .23256546 +00000-0 +80014-1 0  9999,2 13203 064.8477 194.1157 0030010 299.5635 060.4801 15.88443760005705,COSMOS 1260 DEB,COSMOS,64.8
13204,SALYUT 7 DEB,202.8,211.2,,,1 13204U 82033  D 82170.57064317  .04054370 +17729-4 +13907-2 0  9992,2 13204 051.5785 194.8449 0006394 341.4055 021.2717 16.24638696009657,SALYUT 7 DEB,SALYUT,51.6
13216,SL-4 DEB,188.7,232.1,,,1 13216U 82048  C 82146.17232216  .09160683 -98785-5 +32884-2 0  9993,2 13216 082.3014 043.0498 0032952 086.8705 273.6338 16.23373027000125,SL-4 DEB,SL-4,82.3
13221,COSMOS 1260 DEB,377.7,694.2,,,1 13221U 81028 AC 82151.40891017  .00942231 +00000-0 +30533-1 0  9991,2 13221 064.9935 264.5389 0228819 309.2128 048.8873 15.10080758002486,COSMOS 1260 DEB,COSMOS,65.0
13222,COSMOS 1260 DEB,424,685.4,,,1 13222U 81028 AD 82168.51374725  .00148789 +00000-0 +72175-2 0  9999,2 13222 064.9355 210.6713 0188539 314.3231 044.2560 15.03961144004925,COSMOS 1260 DEB,COSMOS,64.9
13223,COSMOS 1260 DEB,333.4,433,,,1 13223U 81028 AE 82247.89388273  .01890614 +00000-0 +09084-2 0  9993,2 13223 065.0070 316.3050 0073606 288.2029 071.1374 15.61538601016952,COSMOS 1260 DEB,COSMOS,65.0
13224,COSMOS 1260 DEB,322.6,385.9,,,1 13224U 81028 AF 82355.01364409  .01713920 +00000-0 +02360-2 0  9997,2 13224 064.9936 338.9386 0047020 249.4876 109.9064 15.71627617033226,COSMOS 1260 DEB,COSMOS,65.0
13225,COSMOS 1260 DEB,450.3,707.1,,,1 13225U 81028 AG 82214.25214964  .01620817 +00000-0 +10114+0 0  9993,2 13225 065.0343 070.5055 0184562 294.0202 064.8188 14.96170435011718,COSMOS 1260 DEB,COSMOS,65.0
13226,COSMOS 1260 DEB,488.5,717.5,,,1 13226U 81028 AH 82213.24910372  .00059382 +00000-0 +49751-2 0  9992,2 13226 064.9875 074.1452 0164027 320.5900 038.0650 14.88375994011537,COSMOS 1260 DEB,COSMOS,65.0
13227,COSMOS 1260 DEB,300.8,528.4,,,1 13227U 81028 AJ 82152.33040077  .10793475 +00000-0 +10232+0 0  9999,2 13227 064.8916 260.7187 0167524 293.2564 065.1006 15.50715080002527,COSMOS 1260 DEB,COSMOS,64.9
13228,COSMOS 1260 DEB,301.4,377.4,,,1 13228U 81028 AK 82307.73907524  .03711712 +00000-0 +20529-1 0  9993,2 13228 064.9941 129.1294 0056581 255.3772 104.1003 15.76830349026772,COSMOS 1260 DEB,COSMOS,65.0
